id;job_id/id;rank_id;last_name;first_name;middle_name;gender;identification_id;status;mobile;birthday
2793739243;military_job.a1234-j0001;полковник;ГУСЕЙНАЛІЄВ;Валентин;Гурамович;male;2793739243;Field;0665709282;11.05.1991
2041636219;military_job.a1234-j0002;підполковник;СТОЛЯРОВСЬКИЙ;Елшан;Миронович;male;2041636219;Vocation;0501485086;20.01.1978
1523033647;military_job.a1234-j0003;капітан;ОДИНЕЦЬ;Георгій;Янович;male;1523033647;Field;0505445720;31.12.1984
1954172193;military_job.a1234-j0004;майстер-сержант;ШЕПЕЛЮК;Вячеслав;Орестович;male;1954172193;Field;0506936865;09.07.1975
1855416382;military_job.a1234-j0007;капітан юстиції;БЕНЬКА;Сорін;Еугінєюсович;male;1855416382;Field;0631385529;23.06.1986
2983344500;military_job.a1234-j0008;капітан юстиції;БАХРІН;Олексій;Махмутович;male;2983344500;Trip;0679378989;22.03.1984
1801152435;military_job.a1234-j0009;лейтенант;ГАВРИЛЮК;Людмила;Іванівна;female;1801152435;Field;0509560287;26.04.1995
2233083341;military_job.a1234-j0011;полковник;СЕДОВ;Вадим;Лутович;male;2233083341;Field;0638538677;25.10.1976
1309952298;military_job.a1234-j0012;підполковник;ПРИСЯЖНИЙ;Михайло-Юрій;Миколайович;male;1309952298;Field;0672910452;21.06.1981
1137527676;military_job.a1234-j0013;майор;ЗАЦАРНИЙ;Андрій;Львович;male;1137527676;Field;0635934252;22.02.1994
2717168044;military_job.a1234-j0014;майор;СТРАШКО;Іхтіяр;Нуманжонович;male;2717168044;Field;0502272530;24.08.1982
2459996984;military_job.a1234-j0015;капітан;ЛІЗАК;Георгій;Орестович;male;2459996984;Vocation;0638313326;27.09.1987
1432922773;military_job.a1234-j0017;капітан;ПІНЬКОВСЬКИЙ;Назарій;Йосипович;male;1432922773;Field;0632298019;24.12.1984
1265021605;military_job.a1234-j0018;головний сержант;ГРИДОВИЙ;Данило;Ількович;male;1265021605;Field;0509242850;24.03.1989
1710771367;military_job.a1234-j0019;підполковник;ЗАХАРІЙ;Кирил;Єфірович;male;1710771367;Field;0633033413;22.03.1977
1829642860;military_job.a1234-j0022;майор;СІНІЦЬКИЙ;Ян;Євгенійович;male;1829642860;Field;0671914569;12.10.1991
